0,1,2,3,4,5,6
0a,0b,0c,0d,0e0e,0f,0z
0A,-448B,0C,0D,-16200E,0F,0Z
0A,-17116B,-2305C,0D,0E,0F,0Z
0A,-5848B,9852C,0D,-6000E,0F,0Z
0A,0B,-1376C,0D,1370E,0F,0Z
0A,23412B,-6171C,0D,20830E,0F,0Z
