,0,1,2,3,4,5
0,-6315a,422b,1c,1d,1e,1f
1,1a,1b,1c,1d,1264e,1f
2,1a,-1217b,1c,1d,-841e,1f
3,1a,1b,1c,1d,1e,422f
4,1a,843b,1c,1d,1e,1f
5,6311a,-50b,-5c,-5d,-426e,-426f
